site,category,url,evidence_class,current_coding,automated_tier,accept_available,reject_available,customize_available,dismiss_available,missing_paths,latest_longitudinal_severity,latest_event_count,latest_event_types,screenshot_ref,dom_ref,dom_hash,image_hash,human_visible_banner_confirmed,human_final_coding,human_use_in_deep_sample,human_priority,reviewer_notes
The Guardian,news,https://www.theguardian.com/,banner_present,banner_present_scored_case,High-Risk,false,false,false,false,accept|reject|customize|dismiss,D,4,copy_change|dom_restructure|layout_change|pathway_change,data/captures/sites/www_theguardian_com_20260605_160209/layer1.png,data/captures/sites/www_theguardian_com_20260605_160209/layer1.html,60b9add43b807053adcc722ceec43f334cfd81e33f4c6befbef3f17600e91624,ffffff0000000030:0f41adfb6920585c,,,,,
CNN,news,https://www.cnn.com/,no_visible_banner,contrast_candidate_not_banner_path_failure,High-Risk,false,false,false,false,accept|reject|customize|dismiss,C,3,copy_change|dom_restructure|layout_change,data/captures/sites/www_cnn_com_20260605_160221/layer1.png,data/captures/sites/www_cnn_com_20260605_160221/layer1.html,3adfda3091d23765c6263140c8b46eef2b907b95578b39042886f3661635944b,000000ff3cffffff:4f74651f62930cbe,,,,,
Booking.com,travel,https://www.booking.com/,no_visible_banner,contrast_candidate_not_banner_path_failure,High-Risk,false,false,false,false,accept|reject|customize|dismiss,C,3,copy_change|dom_restructure|layout_change,data/captures/sites/www_booking_com_20260605_160226/layer1.png,data/captures/sites/www_booking_com_20260605_160226/layer1.html,1b527847e49cda4bcda330f27f168431cc1860d833919d869f36f6f06fd8369a,0000003cffffffff:711dada1fa77e3a7,,,,,
NerdWallet,finance,https://www.nerdwallet.com/,no_visible_banner,contrast_candidate_not_banner_path_failure,High-Risk,false,false,false,false,accept|reject|customize|dismiss,C,3,copy_change|dom_restructure|layout_change,data/captures/sites/www_nerdwallet_com_20260605_160232/layer1.png,data/captures/sites/www_nerdwallet_com_20260605_160232/layer1.html,a66bf169c10d8f61913cba5eff10147e8d9853fee94f0e0f81dac6e4f59d711d,ff00000000ffffff:7e6528c60cb65b42,,,,,
Coca-Cola,food,https://www.coca-cola.com/us/en,banner_present,banner_present_scored_case,High-Risk,true,false,false,false,reject|customize|dismiss,D,5,copy_change|dom_restructure|layout_change|pathway_change|score_change,data/captures/sites/www_coca_cola_com_20260605_160238/layer1.png,data/captures/sites/www_coca_cola_com_20260605_160238/layer1.html,bb63e6524504c6a0c7326091fa3a9b3fccb26e005a10eb53ff0474d9b24f0f23,3c3c3c3c3c3c3c3c:8e7ec4ffaca9b2d2,,,,,
