url,capture_date,captured_at,cohort,banner_detected,accept_available,reject_available,customize_available,dismiss_available,layer1_gate_passed,first_screenshot_ref,first_dom_snapshot_ref,dom_hash,image_hash,layer2_mean_effort,layer2_overall_category,transparency_grade,unbiased_choice_grade,tier,notes
https://weather.com/,2026-05-29,2026-05-29T19:01:38.091185+00:00,replacement-probe-2026-05-30,true,false,false,false,false,false,data/captures/sites/weather_com_20260529_190138/layer1.png,data/captures/sites/weather_com_20260529_190138/layer1.html,0f97ae7f894577ef07d7772b20445c51576d217230b2a464d9538b30e7c8c22e,fffffffcfcfcc080:16559de58415526f,,,,,High-Risk,
https://weather.com/,2026-05-29,2026-05-29T19:07:18.445365+00:00,replacement-probe-layer1-fix-2026-05-30,true,false,false,false,false,false,data/captures/sites/weather_com_20260529_190718/layer1.png,data/captures/sites/weather_com_20260529_190718/layer1.html,08768ffb0faa45e52347d1eda230ba4742de2bc91ab36b1f1edd45f236b9abdb,fffffffcfcfcc080:16559de58415526f,,,,,High-Risk,
https://weather.com/,2026-05-29,2026-05-29T19:08:49.365986+00:00,replacement-probe-click-fix-2026-05-30,true,false,false,false,false,false,data/captures/sites/weather_com_20260529_190849/layer1.png,data/captures/sites/weather_com_20260529_190849/layer1.html,08768ffb0faa45e52347d1eda230ba4742de2bc91ab36b1f1edd45f236b9abdb,fffffffcfcfcc080:16559de58415526f,,,,,High-Risk,
